slug,title,word_count,under_400_words,generic_phrases,generic_phrase_count,templated_opening_shared_with_n,missing_image,is_illustration_not_photo,duplicate_image_with,cuisine,category
feteer-meshaltet,Feteer Meshaltet,503,,,0,,,yes,,Egyptian,Baking
mushy-peas,Mushy Peas,503,,,0,,yes,,,British,Dinner
watercress-soup,Watercress Soup,503,,,0,,,,,British,Lunch
welsh-cakes,Welsh Cakes,503,,,0,,,yes,,Welsh,Baking
busiate-trapanese,Busiate al Pesto Trapanese,504,,,0,,,,,Italian,Dinner
gougeres,Gougères,504,,,0,,,,,French,Appetizers
sfiha,Sfiha,504,,,0,,,,,Lebanese,Appetizers
baba-ghanoug-masri,Baba Ghanoug Masri,505,,,0,,,,,Egyptian,Appetizers
hong-kong-egg-waffle,Hong Kong Egg Waffle,505,,,0,,,,,Chinese,Desserts
makowiec,Makowiec,505,,,0,,yes,,,Polish,Baking
sakshuka-turkish,Şakşuka,505,,,0,,,yes,,Turkish,Appetizers
spotted-dick,Spotted Dick,505,,,0,,,,,British,Desserts
anelletti-al-forno,Anelletti al Forno,506,,,0,,,,,Italian,Dinner
mojito,Classic Mojito,506,,,0,,,,,Cuban,Drinks
moroccan-mint-tea,Moroccan Mint Tea,506,,,0,,,,,Moroccan,Drinks
mulled-cider,Mulled Cider,506,,,0,,,,,British,Drinks
upma,Upma,506,,,0,,,yes,,Indian,Breakfast
vietnamese-egg-coffee,Vietnamese Egg Coffee,506,,,0,,,,,Vietnamese,Drinks
jazar-bi-tahini,Carrot and Tahini Salad,507,,,0,,,,,Lebanese,Appetizers
khobz-tabouna,Khobz Tabouna,507,,,0,,,,,Tunisian,Baking
salade-frisee,Frisée aux Lardons,507,,,0,,,,,French,Lunch
doigts-de-fatma,Doigts de Fatma,508,,,0,,,yes,,Tunisian,Appetizers
dukkah,Dukkah,508,,,0,,,,,Egyptian,Appetizers
greek-yogurt-honey,Greek Yoghurt with Honey and Walnuts,508,,,0,,,,,Greek,Breakfast
struffoli,Struffoli,508,,,0,,,,,Italian,Desserts
vichyssoise,Vichyssoise,508,,,0,,,,,French,Lunch
halo-halo,Halo-Halo,509,,,0,,,,,Filipino,Desserts
overnight-oats,Overnight Oats,509,,,0,,,,,International,Healthy
paneer-bhurji,Paneer Bhurji,509,,,0,,,yes,,Indian,Breakfast
poffertjes,Poffertjes,509,,,0,,,,,Dutch,Desserts
